Real o Pto.,Asiento ,Documento ,Proveedor,Detalle,Fecha_Contable,Fecha_Documento,Moneda, Precio Unitario,ARS,USD, Cantidad, Cuenta ,Cuenta,Área,Linea Negocio,Horario
R20,,4319988,  Melbourne S.A.,,1/16/2020,1/1/2020,Dólares,"  2,870.60 ","  279,310.71 ","  2,870.60 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,igr,nocturno
R20,,9685030,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  441.60 ,"  42,888.19 ",  441.60 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,sfn,nocturno
R20,,10254630,Melbourne S.A.,,1/16/2020,1/1/2020,Dólares,  441.60 ,"  42,888.19 ",  441.60 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,cor,nocturno
R20,,6043096,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,crd,diurno
R20,,1498258,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sfn,diurno
R20,,4378445,   Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  732.00 ,"  71,091.84 ",  732.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,igr,diurno
R20,,8435622,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,"  1,106.00 ","  107,414.72 ","  1,106.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,diurno
R20,,5481750,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,"  1,568.00 ","  152,284.16 ","  1,568.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,sfn,diurno
R20,,9426565,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  512.00 ,"  49,725.44 ",  512.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,crd,diurno
R20,,11808843,Melbourne S.A.,,1/16/2020,1/1/2020,Pesos,  248.00 ,"  24,085.76 ",  248.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,igr,diurno
R20,,6571330,Elex SRL,,1/18/2020,1/3/2020,Pesos,"  1,724.00 ","  167,434.88 ","  1,724.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sfn,diurno
R20,,1028364,Elex SRL,,1/18/2020,1/3/2020,Pesos,  608.00 ,"  59,048.96 ",  608.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,res,diurno
R20,,7821437,Elex SRL,,1/18/2020,1/3/2020,Pesos,  608.00 ,"  59,048.96 ",  608.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,res,diurno
R20,,11024225,Terra SA,,1/18/2020,1/3/2020,Dólares,  34.13 ,"  3,314.51 ",  34.13 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Seguridad,fma,diurno
R20,,12510540,Terra SA,,1/18/2020,1/3/2020,Pesos,  34.13 ,"  3,314.51 ",  34.13 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Sistemas,fma,diurno
R20,,3221325,Terra S.A.,,1/18/2020,1/3/2020,Dólares,  34.13 ,"  3,314.51 ",  34.13 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,juj,diurno
R20,,14633169,Elex SRL,,1/18/2020,1/3/2020,Pesos,"  1,724.00 ","  167,434.88 ","  1,724.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,igr,diurno
R20,,10322989,Elex SRL,,1/18/2020,1/3/2020,Pesos,"  1,724.00 ","  167,434.88 ","  1,724.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,sfn,diurno
R20,,7118093,Stone S.A.,,1/18/2020,1/3/2020,Dólares,  224.00 ,"  21,754.88 ",  224.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,cor,diurno
R20,,9614281,Elex SRL,,1/18/2020,1/3/2020,Dólares,"  1,724.00 ","  167,434.88 ","  1,724.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,irj,diurno
R20,,1612399,Stone S.A.,,1/18/2020,1/3/2020,Dólares,  224.00 ,"  21,754.88 ",  224.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,cor,diurno
R20,,14898045,Stone S.A.,,1/18/2020,1/3/2020,Pesos,  544.00 ,"  52,833.28 ",  544.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,luq,diurno
R20,,9836187,Elex SRL,,1/18/2020,1/3/2020,Dólares,  808.00 ,"  78,472.96 ",  808.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,eze,nocturno
R20,,11040192,Elex SRL,,1/18/2020,1/3/2020,Dólares,"  1,248.00 ","  121,205.76 ","  1,248.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,eze,diurno
R20,,1384086,Elex SRL,,1/18/2020,1/3/2020,Pesos,  808.00 ,"  78,472.96 ",  808.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,eze,nocturno
R20,,4721368,Elex SRL,,1/18/2020,1/3/2020,Dólares,  808.00 ,"  78,472.96 ",  808.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,eze,nocturno
R20,,8195969,Elex SRL,,1/18/2020,1/3/2020,Pesos,"  1,248.00 ","  121,205.76 ","  1,248.00 ",  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,res,diurno
R20,,12919311,Terra S.A.,,1/18/2020,1/3/2020,Dólares,  84.26 ,"  8,182.94 ",  84.26 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,RR.HH.,fma,diurno
R20,,3987743,Terra S.A.,,1/18/2020,1/3/2020,Dólares,  234.64 ,"  22,788.24 ",  234.64 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,fma,diurno
R20,,12162464,Terra SA,,1/18/2020,1/3/2020,Dólares,  84.26 ,"  8,182.94 ",  84.26 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Mantenimiento,juj,diurno
R20,,5268307,Terra S.A.,,1/18/2020,1/3/2020,Dólares,  84.26 ,"  8,182.94 ",  84.26 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,juj,diurno
R20,,988682,Elex SRL,,1/18/2020,1/3/2020,Pesos,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,rza,diurno
R20,,2154754,Elex SRL,,1/18/2020,1/3/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,luq,diurno
R20,,14629434,Elex SRL,,1/18/2020,1/3/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,rza,diurno
R20,,3914108,Elex SRL,,1/18/2020,1/3/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,uaq,diurno
R20,,13589117,Elex SRL,,1/18/2020,1/3/2020,Pesos,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,rza,diurno
R20,,7523627,Elex SRL,,1/18/2020,1/3/2020,Dólares,  664.00 ,"  64,487.68 ",  664.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,uaq,diurno
R20,,2129208,Elex SRL,,1/18/2020,1/3/2020,Pesos,  808.00 ,"  78,472.96 ",  808.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,mdz,nocturno
R20,,12627128,Elex SRL,,1/18/2020,1/3/2020,Dólares,  808.00 ,"  78,472.96 ",  808.00 ,  1.00 , 500556-0688-08-000,Servicios de Transporte,Compras,mdz,nocturno
